角色,音色 ID,语言,模型,接口
青涩青年 2.0,ICL_uranus_zh_male_qingseqingnian_tob,中文,2.0,websocket
清爽少年 2.0,ICL_uranus_zh_male_qingshuangshaonian_tob,中文,2.0,websocket
清新波波 2.0,ICL_uranus_zh_male_qingxinbobo_tob,中文,2.0,websocket
亲切青年 2.0,ICL_uranus_zh_male_qinqieqingnian_tob,中文,2.0,websocket
亲切小卓 2.0,ICL_uranus_zh_male_qinqiexiaozhuo_tob,中文,2.0,websocket
清朗温润 2.0,ICL_uranus_zh_male_qinglangwenrun_tob,中文,2.0,websocket
热血少年 2.0,ICL_uranus_zh_male_rexueshaonian_tob,中文,2.0,websocket
儒雅才俊 2.0,ICL_uranus_zh_male_ruyacaijun_tob,中文,2.0,websocket
儒雅君子 2.0,ICL_uranus_zh_male_ruyajunzi_tob,中文,2.0,websocket
儒雅总裁 2.0,ICL_uranus_zh_male_ruyazongcai_tob,中文,2.0,websocket
撒娇男生 2.0,ICL_uranus_zh_male_sajiaonansheng_tob,中文,2.0,websocket
撒娇男友 2.0,ICL_uranus_zh_male_sajiaonanyou_tob,中文,2.0,websocket
撒娇粘人 2.0,ICL_uranus_zh_male_sajiaonianren_tob,中文,2.0,websocket
洒脱青年 2.0,ICL_uranus_zh_male_satuoqingnian_tob,中文,2.0,websocket
少年将军 2.0,ICL_uranus_zh_male_shaonianjiangjun_tob,中文,2.0,websocket
深沉总裁 2.0,ICL_uranus_zh_male_shenchenzongcai_tob,中文,2.0,websocket
机灵小伙 2.0,ICL_uranus_zh_male_jilingxiaohuo_tob,中文,2.0,websocket
神秘法师 2.0,ICL_uranus_zh_male_shenmifashi_tob,中文,2.0,websocket
率真小伙 2.0,ICL_uranus_zh_male_shuaizhenxiaohuo_tob,中文,2.0,websocket
爽朗小阳 2.0,ICL_uranus_zh_male_shuanglangxiaoyang_tob,中文,2.0,websocket
低沉缱绻 2.0,ICL_uranus_zh_male_dichenqianquan_tob,中文,2.0,websocket
斯文青年 2.0,ICL_uranus_zh_male_siwenqingnian_tob,中文,2.0,websocket
甜系男友 2.0,ICL_uranus_zh_male_tianxinanyou_tob,中文,2.0,websocket
贴心男友 2.0,ICL_uranus_zh_male_tiexinnanyou_tob,中文,2.0,websocket
温柔男同桌 2.0,ICL_uranus_zh_male_wenrounantongzhuo_tob,中文,2.0,websocket
温柔男友 2.0,ICL_uranus_zh_male_wenrounanyou_tob,中文,2.0,websocket
温柔学长 2.0,ICL_uranus_zh_male_wenrouxuezhang_tob,中文,2.0,websocket
温润学者 2.0,ICL_uranus_zh_male_wenrunxuezhe_tob,中文,2.0,websocket
温顺少年 2.0,ICL_uranus_zh_male_wenshunshaonian_tob,中文,2.0,websocket
寡言小哥 2.0,ICL_uranus_zh_male_guayanxiaoge_tob,中文,2.0,websocket
小侯爷 2.0,ICL_uranus_zh_male_xiaohouye_tob,中文,2.0,websocket
奶气小生 2.0,ICL_uranus_zh_male_naiqixiaosheng_tob,中文,2.0,websocket
潇洒随性 2.0,ICL_uranus_zh_male_xiaosasuixing_tob,中文,2.0,websocket
温柔内敛 2.0,ICL_uranus_zh_male_wenrouneilian_tob,中文,2.0,websocket
学霸男同桌 2.0,ICL_uranus_zh_male_xuebanantongzhuo_tob,中文,2.0,websocket
学霸同桌 2.0,ICL_uranus_zh_male_xuebatongzhuo_tob,中文,2.0,websocket
阳光洋洋 2.0,ICL_uranus_zh_male_yangguangyangyang_tob,中文,2.0,websocket
温暖少年 2.0,ICL_uranus_zh_male_wennuanshaonian_tob,中文,2.0,websocket
意气少年 2.0,ICL_uranus_zh_male_yiqishaonian_tob,中文,2.0,websocket
油腻大叔 2.0,ICL_uranus_zh_male_younidashu_tob,中文,2.0,websocket
幽默大爷 2.0,ICL_uranus_zh_male_youmodaye_tob,中文,2.0,websocket
幽默叔叔 2.0,ICL_uranus_zh_male_youmoshushu_tob,中文,2.0,websocket
优柔帮主 2.0,ICL_uranus_zh_male_youroubangzhu_tob,中文,2.0,websocket
优柔公子 2.0,ICL_uranus_zh_male_yourougongzi_tob,中文,2.0,websocket
元气少年 2.0,ICL_uranus_zh_male_yuanqishaonian_tob,中文,2.0,websocket
仗剑君子 2.0,ICL_uranus_zh_male_zhangjianjunzi_tob,中文,2.0,websocket
仗剑侠客 2.0,ICL_uranus_zh_male_zhangjianxiake_tob,中文,2.0,websocket
正直青年 2.0,ICL_uranus_zh_male_zhengzhiqingnian_tob,中文,2.0,websocket
直率青年 2.0,ICL_uranus_zh_male_zhishuaiqingnian_tob,中文,2.0,websocket
中二青年 2.0,ICL_uranus_zh_male_zhongerqingnian_tob,中文,2.0,websocket
自负青年 2.0,ICL_uranus_zh_male_zifuqingnian_tob,中文,2.0,websocket
自信青年 2.0,ICL_uranus_zh_male_zixinqingnian_tob,中文,2.0,websocket
天才同桌 2.0,ICL_uranus_zh_male_tiancaitongzhuo_tob,中文,2.0,websocket
清新沐沐 2.0,ICL_uranus_zh_male_qingxinmumu_tob,中文,2.0,websocket
温婉珊珊 2.0,ICL_uranus_zh_female_wenwanshanshan_tob,中文,2.0,websocket
热情艾娜 2.0,ICL_uranus_zh_female_reqingaina_tob,中文,2.0,websocket
爽朗少年 2.0,ICL_uranus_zh_male_shuanglangshaonian_tob,中文,2.0,websocket
轻盈朵朵 2.0,ICL_uranus_zh_female_qingyingduoduo_tob,中文,2.0,websocket
Dina,ar_female_dina_uranus_bigtts,阿拉伯语,2.0,websocket
Fatma,ar_female_fatma_uranus_bigtts,阿拉伯语,2.0,websocket
Youssef,ar_male_youssef_uranus_bigtts,阿拉伯语,2.0,websocket
Stella,de_female_bv081_uranus_bigtts,德语,2.0,websocket
Sven,de_male_sven_uranus_bigtts,德语,2.0,http
Rowan,en_male_adam-imitation_uranus_bigtts,美式英语,2.0,websocket
Alberto,en_male_alberto_uranus_bigtts,美式英语,2.0,websocket
Alex,en_male_alex_uranus_bigtts,美式英语,2.0,websocket
Allison,en_female_allison_uranus_bigtts,美式英语,2.0,websocket
Charlotte,en_female_authoritative-british_uranus_bigtts,美式英语,2.0,websocket
Margaret,en_female_authoritative-informative_uranus_bigtts,美式英语,2.0,websocket
Jones,en_male_bill-jones_uranus_bigtts,美式英语,2.0,websocket
Bill,en_male_bill_jones_corey_uranus_bigtts,美式英语,2.0,http
Brad_Pitt,en_male_brad_pitt_p1_uranus_bigtts,美式英语,2.0,websocket
